Planet Name,Number of Stars,Number of Planets,Discovery Method,Discovery Year,Discovery Facility,Orbital Period (days),Planet Radius (Earth Radius),Planet Mass,Distance From Earth,Release Date
HD 217107 c,1,2,Radial Velocity,2005,Lick Observatory,5141,,1369.84043,20.0619,9/20/2021 0:00
HD 21749 c,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),7.7897726,1.001,,16.32,12/4/2023 0:00
HD 217786 b,2,2,Radial Velocity,2011,La Silla Observatory,1302.1,,9185.24096,55.4847,6/12/2023 0:00
HD 217786 c,2,2,Radial Velocity,2022,Multiple Observatories,2.52221,,7.31005,55.4847,6/14/2023 0:00
HD 217958 b,1,1,Radial Velocity,2022,Multiple Observatories,2560.19774,,166.54209,61.7957,6/12/2023 0:00
HD 218566 b,1,1,Radial Velocity,2010,W. M. Keck Observatory,225.17,,62.93002,28.8274,9/20/2021 0:00
HD 219077 b,1,1,Radial Velocity,2012,La Silla Observatory,5478.68861,,3057.50928,29.1864,6/12/2023 0:00
HD 219134 b,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,3.0929338,,,6.53127,3/4/2024 0:00
HD 219134 c,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,6.7650278,1.279,,6.53127,2/8/2023 0:00
HD 219134 d,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,46.734,,16.39995,6.53127,9/20/2021 0:00
HD 219134 g,1,6,Radial Velocity,2015,Multiple Observatories,94.2,,10.80622,6.53127,11/19/2015 0:00
HD 219134 h,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,2104,,97.89115,6.53127,9/20/2021 0:00
HD 219139 b,1,1,Radial Velocity,2021,Okayama Astrophysical Observatory,275.5,,247.90616,104.935,1/10/2022 0:00
HD 219415 b,1,1,Radial Velocity,2012,McDonald Observatory,2093.3,,317.83,165.184,9/18/2015 0:00
HD 219666 b,1,1,Transit,2018,Transiting Exoplanet Survey Satellite (TESS),6.034468,,,94.1719,3/4/2024 0:00
HD 219828 b,1,2,Radial Velocity,2007,La Silla Observatory,3.83483,,19.0697,73.114,6/14/2023 0:00
HD 219828 c,1,2,Radial Velocity,2016,Multiple Facilities,4789.87297,,5102.41725,73.114,6/12/2023 0:00
HD 220074 b,1,1,Radial Velocity,2012,Bohyunsan Optical Astronomical Observatory,672.09998,,5288.6912,324.54,9/6/2018 0:00
HD 220197 b,1,1,Radial Velocity,2018,Roque de los Muchachos Observatory,1728,,63.566,64.411,11/21/2019 0:00
HD 220689 b,1,1,Radial Velocity,2012,La Silla Observatory,2280,,381.39409,46.8778,6/12/2023 0:00
HD 220773 b,1,1,Radial Velocity,2011,McDonald Observatory,3724.7,,460.8,50.5103,1/31/2019 0:00
HD 220842 b,2,1,Radial Velocity,2016,Haute-Provence Observatory,218.47,,1010.6994,64.6498,2/25/2016 0:00
HD 221287 b,1,1,Radial Velocity,2007,La Silla Observatory,456.1,,982.05,55.9231,5/14/2014 0:00
HD 221416 b,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),14.278122,8.357,,95.5483,8/8/2022 0:00
HD 221420 b,1,1,Radial Velocity,2019,Anglo-Australian Telescope,10066,,6992.22495,31.1415,9/5/2023 0:00
HD 221585 b,1,1,Radial Velocity,2016,Haute-Provence Observatory,1173,,511.7063,55.8535,5/19/2016 0:00
HD 222076 b,1,1,Radial Velocity,2016,Multiple Observatories,871,,495.8148,91.1538,12/1/2016 0:00
HD 222155 b,1,1,Radial Velocity,2011,Haute-Provence Observatory,3270,,581.62598,50.6078,6/12/2023 0:00
HD 222237 b,1,1,Radial Velocity,2024,Multiple Observatories,14892,,1649.52943,11.4469,9/28/2024 0:00
